City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,40,IN,1619619498,15,26.9147,70.9181,97.86,5.46
374,100,ID,1619619499,92,-5.1241,120.253,76.39,4.43
375,9,ID,1619619499,68,-5.6667,132.75,83.84,6.93
376,100,AU,1619619500,93,-41.45,147.1667,48.99,4.61
377,100,RU,1619619500,67,54.4299,31.8996,45.5,11.86
378,16,RU,1619619501,87,61.2767,108.0108,23.41,2.57
379,9,CN,1619619502,23,46.0833,127.4,43.2,6.89
380,75,SE,1619619502,93,63.8284,20.2597,37.0,6.91
381,1,US,1619619503,100,20.8947,-156.47,66.99,4.61
382,1,RU,1619619503,61,61.95,159.2333,16.95,10.4
383,71,RU,1619619504,79,45.0917,133.5136,43.97,6.33
384,54,RU,1619619504,55,56.555,76.6271,51.13,3.62
385,20,PF,1619619505,78,-17.7333,-149.15,77.0,2.3
386,40,SJ,1619619296,53,78.2186,15.6401,21.2,8.05
387,75,PW,1619619506,94,7.0419,134.2556,77.0,3.42
388,20,CU,1619619506,57,20.2172,-75.9989,82.4,3.44
389,100,MU,1619619507,89,-20.0064,57.6608,75.99,5.99
390,0,CN,1619619508,55,31.2581,117.2817,66.99,4.47
391,0,NZ,1619619508,91,-35.1,173.7833,48.0,1.01
392,100,US,1619619509,85,39.447,-86.1758,72.0,9.17
393,0,IS,1619619254,46,63.4427,-20.2734,50.0,6.91
394,96,SO,1619619510,48,9.4092,45.064,81.52,11.74
395,97,SO,1619619510,51,9.56,44.065,77.9,6.2
396,0,IL,1619619511,57,31.6693,34.5715,75.2,11.5
397,49,ZM,1619619512,43,-16.1167,23.2667,81.68,8.66
398,100,LR,1619619512,71,4.375,-7.7169,84.18,9.73
399,100,IR,1619619513,31,35.0213,50.3566,75.79,17.65
400,35,BR,1619619513,42,-16.5594,-42.8897,82.13,4.63
401,100,CA,1619619514,92,47.5999,-53.2648,46.99,1.99
402,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
403,90,CL,1619619515,100,-41.8697,-73.8203,54.0,3.44
